N,grid_points,nu,T,CFL,steps,elapsed_sec,sec_per_step,energy,max_grad
64,4096,0.01,0.25,0.2,13,0.06437873840332031,0.0049522106464092545,0.24748605493764259,1.545080664529088
128,16384,0.01,0.25,0.2,26,0.42708921432495117,0.016426508243267354,0.2474861178395253,1.5450822187617466
256,65536,0.01,0.25,0.2,51,4.2486395835876465,0.08330665850171856,0.24748613388308865,1.5450826165238
