N,nu,T,CFL,steps,avg_dt,elapsed_sec,err_u_rel_l2,max_abs_v
128,0.05,0.5,0.4,26,0.019230769230769232,0.7195446491241455,4.09951175217735e-06,0.0
128,0.05,0.5,0.2,51,0.00980392156862745,0.8620736598968506,1.0271861098699301e-06,0.0
128,0.05,0.5,0.1,101,0.0049504950495049506,1.6933820247650146,2.5784936815584663e-07,0.0
128,0.05,0.5,0.05,202,0.0024752475247524753,3.3809783458709717,6.480906001949195e-08,0.0
