nu,N,T,eps4,filter_strength,steps,u_min,u_max,v_min,v_max,energy,max_grad,rms_grad
0.01,192,0.25,1e-06,12.0,63,-1.2484342926065148,1.2482868997678673,-1.4546865401799645,1.454458537243651,0.5879985973780574,2.3262907790796157,1.1671861354051012
0.005,192,0.25,1e-06,12.0,63,-1.2492174183122327,1.249142824779061,-1.456961949281617,1.4568235861915995,0.5896209649472354,2.337292174587259,1.1696050700970244
0.001,192,0.25,1e-06,12.0,63,-1.249840841386205,1.249825208856799,-1.4587830741455632,1.4587204137503536,0.5909232988853779,2.3462173989004356,1.1715523539940151
